Distance,AvgWeight
24.8160,0.06
24.8160,0.12
24.8160,0.19
24.9189,0.25
24.9189,0.25
24.9189,0.25
24.9189,0.25
24.9189,0.25
24.9189,0.25
24.9189,0.25
24.8160,0.25
24.8160,0.25
24.8160,0.25
24.8160,0.25
24.9361,0.25
24.9361,0.25
24.9189,0.25
24.9361,0.25
24.9189,0.25
24.9361,0.25
24.8160,0.25
24.8160,0.35
24.8160,0.40
24.8160,0.54
24.8332,0.71
24.9361,0.74
24.9189,0.78
24.9189,0.65
24.9361,0.46
24.9189,0.37
24.8160,0.38
24.8160,0.46
24.8160,0.54
24.8160,0.55
24.8160,0.53
24.9189,0.54
24.9189,0.58
24.9189,0.65
24.9189,0.74
24.9189,0.92
24.9189,1.22
24.9361,1.51
24.8160,1.76
24.8160,1.88
24.8160,2.00
24.9189,2.12
24.9361,2.16
24.9361,2.21
24.9189,2.22
24.9361,2.27
24.9189,2.49
24.9189,2.77
24.9189,3.14
24.8160,3.75
24.8160,4.59
24.8160,5.70
24.8160,6.92
25.2448,8.10
25.2791,9.54
25.2791,11.39
24.8675,13.70
24.7474,16.56
24.7474,19.65
24.8503,22.65
24.8503,25.69
25.1762,28.65
25.1076,31.36
25.2105,34.10
24.7989,36.96
24.6960,40.03
24.6960,43.28
25.2105,46.35
25.1590,49.34
25.1590,51.87
24.6445,54.21
24.6788,56.31
25.0390,58.12
24.5073,60.27
24.2844,62.94
24.5759,66.51
24.6274,70.74
24.0786,75.11
23.9757,79.29
24.1472,83.17
23.6327,86.20
23.5984,88.59
23.4783,91.13
23.3754,93.67
23.2039,96.49
23.1525,99.41
23.0839,101.66
23.1182,103.39
23.0667,104.99
22.9981,106.78
22.7752,108.83
22.8266,111.15
22.7752,113.66
22.6551,116.30
22.5865,118.90
22.3636,121.57
22.4151,124.10
21.9348,126.52
22.2950,129.05
22.1749,131.55
22.0034,134.14
22.0549,136.65
21.9863,139.03
21.9348,141.35
21.8148,143.59
21.7462,145.93
21.6947,148.08
21.5404,150.23
21.5747,152.31
21.5747,154.11
21.5061,155.97
21.4546,157.64
21.4032,159.25
21.2317,160.97
21.1802,162.55
21.2660,163.95
21.2660,164.95
21.2145,166.04
21.1631,167.48
21.0430,168.98
21.3346,170.46
20.7515,171.41
20.8029,171.68
20.7858,171.68
20.7343,171.68
20.6829,171.68
20.6143,171.68
20.5457,171.68
20.4942,171.68
20.4942,171.68
20.4428,171.68
20.3227,171.68
20.4428,171.68
20.3742,171.68
20.3742,171.68
19.8940,171.68
20.2713,171.68
20.2713,171.68
20.2027,171.68
20.2027,171.68
20.2027,171.68
20.1341,171.68
20.0312,171.68
20.0312,171.68
19.9797,171.68
20.0140,171.68
19.5338,171.68
19.8940,171.68
19.8425,171.68
19.7740,171.68
19.7225,171.68
19.6024,171.68
19.5510,171.68
19.4824,171.68
19.4138,171.68
19.3624,171.68
19.2937,171.68
19.2423,171.68
19.2423,171.68
19.2937,171.68
19.4309,171.68
19.5338,171.68
19.7225,171.68
19.8597,171.68
20.0312,171.68
20.2713,170.52
20.6658,165.87
20.9058,157.79
21.2145,146.42
21.5061,133.19
21.8148,120.89
22.0034,109.40
22.2607,99.25
22.4836,90.26
22.8952,82.06
23.1868,74.26
23.8385,66.36
23.6155,58.71
23.8556,50.80
24.0957,42.82
24.7989,35.26
24.5588,27.97
24.9875,21.33
24.6960,15.63
24.8675,10.57
25.2791,6.30
24.9189,3.11
24.9189,1.24
25.3477,0.36
25.3305,0.02
25.3305,0.00
25.2276,0.04
25.2276,0.17
25.2276,0.30
25.2448,0.43
25.2276,0.40
25.3305,0.42
25.3305,0.49
25.3305,0.55
25.3477,0.71
25.3477,0.76
25.2448,0.78
25.2448,0.76
25.2276,0.77
25.3305,0.77
25.3305,0.79
25.3305,0.80
25.3477,0.84
24.9532,0.86
24.9532,0.85
25.2276,0.86
25.2276,0.85
25.2448,0.82
25.2448,0.82
25.3305,0.83
25.3477,0.83
25.3305,0.83
25.3477,0.83
25.3477,0.83
25.2448,0.83
25.2276,0.83
25.2276,0.84
25.2276,0.84
25.3477,0.83
25.3305,0.84
25.3477,0.85
25.3477,0.84
25.3305,0.85
25.2276,0.84
25.2448,0.84
25.2448,0.64
25.3305,0.43
25.2448,0.22
25.3305,0.00
25.3477,0.00
24.9189,0.00
25.3305,0.00
25.3477,0.00
24.9189,0.00
25.3477,0.00
25.3991,0.00
25.3305,0.00
25.3477,0.00
25.3305,0.00
25.3477,0.00
25.3305,0.00
25.3305,0.00
25.3305,0.00
25.2448,0.00
25.3305,0.00
25.2276,0.00
25.2276,0.00
25.3305,0.00
25.2276,0.00
25.3477,0.00
24.8160,0.00
25.2276,0.17
24.8160,0.51
24.8332,0.53
24.9189,0.76
24.9189,0.88
24.9189,0.57
24.9189,0.85
24.9189,0.78
25.3305,0.62
25.3477,0.87
24.8332,0.69
25.2276,0.70
24.8160,0.86
24.8160,0.64
25.3477,0.77
25.3305,0.81
25.3305,0.64
25.3305,0.82
25.3305,0.74
25.2276,0.69
25.2448,0.82
24.8332,0.71
25.2448,0.73
25.2448,0.81
25.3477,0.68
25.3477,0.77
25.3477,0.79
25.3305,0.68
25.3477,0.79
25.2276,0.76
25.2448,0.70
25.2276,0.
