Distance,AvgWeight
25.2962,0.00
25.2962,0.00
25.2962,0.00
25.2962,0.00
24.8675,0.00
24.8846,0.00
25.2962,0.00
24.8675,0.00
25.2962,0.00
25.2962,0.00
25.2448,0.00
25.2962,0.00
25.3477,0.00
25.2448,0.00
25.2448,0.00
25.3477,0.00
25.2276,0.00
25.3305,0.00
25.3477,0.00
25.3305,0.00
25.3305,0.00
25.3991,0.00
25.3477,0.00
25.3305,0.00
25.3305,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3305,0.00
25.3477,0.00
25.3134,0.00
25.3477,0.11
25.2276,0.27
25.2276,0.55
25.2448,1.08
24.9361,1.83
24.9189,2.98
24.9189,4.36
24.9189,5.80
24.9189,7.26
24.9189,8.62
24.8160,10.11
25.2448,11.70
25.1762,13.40
25.2791,15.37
25.2962,17.58
24.7646,20.13
24.7646,23.07
25.2791,26.50
25.2276,30.54
24.6960,35.06
24.6960,40.03
25.1590,44.96
24.7474,49.13
24.5759,52.51
24.8846,55.44
24.4902,58.47
24.3873,62.23
24.1644,66.76
24.0443,71.64
23.9242,76.35
23.9071,80.75
23.7870,84.99
24.0957,87.88
23.3754,90.89
23.3754,94.05
23.2554,97.04
23.1182,101.11
23.0153,105.09
22.7923,109.09
22.6037,113.27
22.5865,117.57
22.0549,121.88
21.9348,125.98
22.1235,129.88
22.0034,133.59
22.0549,137.07
21.9348,140.71
21.7633,144.54
21.6433,148.61
21.5747,152.89
21.3517,157.03
21.2317,160.92
21.2831,164.31
21.2145,167.31
21.1631,169.48
21.0945,170.84
21.3860,171.58
20.9230,171.68
20.7515,171.68
20.7343,171.68
20.6829,171.68
20.6143,171.68
20.5628,171.68
20.4942,171.68
20.0140,171.68
19.9626,171.68
20.3227,171.68
20.2541,171.68
20.0826,171.68
20.0312,171.68
19.9797,171.68
20.0826,171.68
20.0312,171.68
20.0140,171.68
19.9626,171.68
19.5338,171.68
19.8940,171.68
19.8940,171.68
19.8940,171.68
19.8940,171.68
19.9111,171.68
19.5510,171.68
19.9626,171.68
19.9111,171.68
19.9111,171.68
20.0312,171.68
20.0140,171.68
20.0140,171.68
20.0140,171.68
19.5510,171.68
19.8425,171.68
19.6710,171.68
19.5338,171.68
19.3624,171.68
19.2423,171.68
19.1222,171.68
19.0022,171.68
18.9507,171.68
18.9507,171.68
18.8822,171.68
18.9507,171.68
19.0708,171.68
19.1908,171.68
19.3624,171.68
19.5338,171.68
19.8425,171.68
19.9797,169.17
19.8597,162.85
20.6143,153.07
20.9230,139.94
21.2660,125.84
21.5747,112.93
21.8148,101.56
22.0549,92.22
22.2950,85.34
22.0549,79.91
22.5522,75.26
22.7237,70.43
23.0667,64.92
23.2554,58.92
23.4783,52.41
24.0786,45.76
24.2158,39.23
23.9242,33.27
24.5588,28.21
24.2672,24.16
24.6445,21.02
24.3530,18.33
24.5073,15.79
24.5588,13.17
24.6274,10.58
24.6788,7.95
24.9875,5.48
24.6274,3.33
25.1076,1.66
25.2276,0.67
24.8160,0.16
24.8332,0.00
24.8332,0.00
25.2448,0.00
25.2276,0.00
25.2448,0.00
25.2276,0.00
25.3477,0.00
25.2276,0.00
25.3477,0.00
25.3477,0.00
25.3305,0.00
25.3305,0.00
25.3305,0.00
25.3477,0.00
25.3305,0.00
25.3477,0.00
25.3305,0.00
25.3477,0.00
25.3477,0.00
25.3305,0.00
25.3305,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3477,0.00
25.3305,0.00
25.2276,0.00
25.2448,0.00
25.2448,0.00
25.2276,0.00
25.2276,0.00
25.2276,0.00
25.2276,0.00
25.2276,0.00
25.2448,0.00
25.2276,0.34
25.2962,0.34
25.3991,0.34
25.3477,0.35
25.3991,0.24
25.3991,0.36
25.3991,0.67
25.2448,0.78
25.2276,0.86
25.2448,0.94
25.2448,0.79
25.2962,0.97
25.3991,0.88
25.3305,0.82
25.3991,0.97
25.3305,0.84
25.3820,0.88
25.2448,0.93
25.2962,0.84
25.2276,0.91
25.3477,0.88
25.3477,0.85
25.3305,0.92
25.3477,0.87
25.3820,0.85
25.3305,0.93
25.2448,0.85
25.2448,0.89
25.2276,0.90
25.3305,0.86
25.3477,0.90
25.3477,0.88
25.3477,0.86
25.3477,0.92
25.2276,0.86
25.2448,0.88
25.2448,0.91
25.2276,0.87
25.2276,0.89
25.3477,0.90
25.3477,0.87
25.3477,0.90
25.2448,0.89
25.2276,0.87
