Distance,AvgWeight
25.2276,0.22
25.2448,0.43
25.3305,0.65
25.3305,0.86
25.3305,0.86
25.3305,0.86
25.3305,0.86
25.3134,0.86
25.2448,0.86
25.2448,0.86
25.2791,0.86
25.3305,0.86
25.3477,0.86
25.3305,0.86
25.3477,0.86
25.2276,0.86
25.2276,0.85
25.2448,0.77
25.2448,0.66
25.2276,0.55
25.2276,0.47
25.3305,0.45
25.3477,0.45
25.3477,0.49
25.3305,0.55
25.3477,0.64
25.2276,0.72
25.2448,0.77
25.2448,0.81
25.3477,0.83
25.3477,0.85
25.3477,0.88
25.3305,0.88
25.3477,0.88
25.2276,0.88
25.2962,0.88
25.2276,0.88
25.2276,0.87
25.2448,0.87
24.9532,0.88
25.3305,0.88
25.3991,0.88
25.3477,0.88
25.3477,0.88
25.2448,0.87
25.2276,0.88
25.2276,0.88
25.2448,0.88
25.3477,0.88
25.3477,0.88
25.3477,0.88
25.3477,0.87
25.3305,0.87
25.2448,0.88
25.2276,0.87
25.2276,0.88
25.3477,0.87
25.3305,0.87
25.3305,0.88
25.3477,0.87
25.3305,0.87
25.2448,0.88
25.2448,0.85
25.2276,0.77
25.2448,0.69
25.3305,0.63
25.3305,0.52
25.3305,0.45
25.3991,0.30
25.3477,0.15
24.9875,0.06
24.9189,0.00
25.3477,0.00
25.2276,0.00
24.8675,0.00
25.3991,0.00
25.2276,0.00
25.2448,0.00
25.2962,0.00
25.2962,0.00
25.2448,0.00
24.8675,0.00
25.2962,0.00
25.2791,0.00
25.2962,0.00
25.2962,0.00
25.2962,0.00
25.2276,0.00
25.2962,0.00
25.2962,0.00
25.2962,0.00
25.3820,0.00
25.2962,0.00
25.3991,0.00
25.3991,0.00
25.3477,0.00
25.3305,0.55
25.3477,1.57
25.3477,2.40
25.3477,2.95
25.2448,2.75
25.2791,1.98
25.2448,1.39
25.2448,1.13
25.3477,1.21
25.3477,1.41
25.3477,1.98
25.3477,3.32
24.9018,5.10
24.8160,7.72
24.8160,10.38
24.8160,12.80
25.3477,15.69
25.2791,18.58
25.1762,21.81
24.7474,25.44
24.8675,29.04
25.2276,32.77
24.6960,36.90
24.7131,41.42
25.1590,46.57
24.7474,52.62
24.7303,59.44
24.5759,67.15
25.1076,75.43
24.6103,83.10
24.5759,90.18
24.3873,96.23
24.3358,101.41
24.3358,106.90
24.1986,112.46
23.9757,117.92
24.3701,123.25
23.9071,128.20
23.7870,133.17
23.5641,138.43
23.4955,143.00
23.3583,147.24
23.1868,151.50
22.9810,155.48
23.3069,159.75
23.2382,163.72
22.7066,166.60
22.5865,168.63
22.4322,170.09
22.4151,170.93
22.3464,171.46
22.2264,171.67
22.1063,171.67
21.9520,171.67
21.9348,171.67
21.8662,171.67
21.7633,171.67
21.6947,171.67
21.5747,171.67
21.4546,171.67
