Distance,AvgWeight
21.2660,0.03
21.3174,0.05
21.3174,0.08
21.7290,0.11
21.3174,0.10
21.3174,0.10
21.3174,0.11
21.3174,0.10
21.3174,0.10
21.3174,0.11
21.3174,0.11
21.2145,0.10
21.2145,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.11
21.3174,0.10
21.3174,0.10
21.3174,0.11
21.3174,0.11
21.3174,0.10
21.2145,0.11
21.6433,0.11
21.7462,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
20.9058,0.10
20.9058,0.10
21.3174,0.10
21.3174,0.10
21.7462,0.10
21.6433,0.11
21.6261,0.11
21.2145,0.10
21.3174,0.11
21.3174,0.11
21.3174,0.10
21.3174,0.11
21.3174,0.11
21.3174,0.10
20.9058,0.11
20.9058,0.11
20.9058,0.10
20.8029,0.10
20.9058,0.10
20.9058,0.10
20.9058,0.10
20.9058,0.10
21.2145,0.10
21.2145,0.10
21.2660,0.10
21.3174,0.10
20.9058,0.10
20.9058,0.10
21.7290,0.10
21.3346,0.11
21.3346,0.10
21.3174,0.10
21.3346,0.11
21.2145,0.10
21.2145,0.10
21.2831,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.2145,0.11
21.2145,0.10
21.2145,0.10
21.3174,0.11
21.3174,0.10
21.3174,0.10
21.3174,0.11
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.10
21.3174,0.11
21.2145,0.10
21.2145,0.10
21.3174,0.10
21.3174,0.10
22.1578,0.10
21.3174,0.11
21.3174,0.10
22.1578,0.08
21.7462,0.06
21.3174,0.03
22.0892,0.01
21.2145,0.00
21.7462,0.00
21.3174,0.00
21.3174,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.0892,0.00
22.0549,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
21.6261,0.00
22.0549,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.0549,0.00
22.1578,0.00
21.3174,0.00
22.1578,0.00
22.1578,0.00
21.7462,0.00
21.6433,0.00
21.2145,0.00
21.7462,0.00
21.6261,0.00
22.1578,0.00
22.1578,0.00
21.3174,0.00
21.6433,0.00
21.6433,0.00
21.6776,0.00
22.1578,0.00
21.7462,0.00
21.7290,0.00
21.7462,0.00
21.7290,0.00
21.7462,0.00
21.7462,0.00
