Distance,AvgWeight
20.2541,0.18
20.2370,0.37
20.2541,0.56
20.2370,0.74
20.2541,0.75
20.1341,0.74
20.1341,0.74
20.2541,0.75
20.2370,0.74
20.2370,0.73
20.2541,0.75
20.2541,0.74
20.1512,0.74
20.2541,0.75
20.2370,0.74
20.2541,0.74
20.2541,0.75
20.2541,0.74
20.2541,0.74
20.2370,0.75
20.2541,0.74
20.2541,0.75
20.2541,0.74
20.2541,0.74
20.1341,0.75
20.2541,0.74
20.2370,0.73
20.2541,0.75
20.2541,0.74
19.8083,0.73
20.1341,0.74
20.1512,0.74
20.2370,0.74
20.2541,0.74
20.2370,0.74
20.2541,0.74
20.2541,0.75
20.1341,0.74
20.2541,0.75
20.2541,0.74
20.2541,0.74
20.1341,0.75
20.1341,0.74
20.2541,0.74
20.2541,0.75
20.2541,0.74
20.2541,0.73
20.2541,0.74
20.1512,0.73
20.1512,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.75
20.2541,0.75
20.2370,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.73
20.2541,0.75
20.2370,0.74
20.2370,0.74
20.2370,0.75
20.1512,0.74
20.1341,0.74
20.2541,0.75
20.2541,0.74
20.2541,0.74
20.2370,0.74
20.2541,0.73
20.2370,0.74
20.2541,0.74
19.8083,0.74
20.2370,0.74
20.1512,0.74
20.1341,0.74
20.2370,0.74
20.2370,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.74
20.1341,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.75
20.2370,0.74
20.1512,0.74
20.2370,0.74
20.1855,0.74
20.2541,0.74
20.0998,0.74
20.2541,0.74
20.2370,0.74
20.2027,0.74
20.1855,0.74
20.1855,0.74
20.1855,0.74
20.0826,0.74
20.1855,0.75
20.2370,0.74
19.8254,0.74
19.8254,0.74
19.8083,0.74
20.2027,0.75
20.2370,0.74
20.2027,0.74
20.1855,0.75
20.1855,0.74
20.0826,0.73
20.1855,0.74
20.1855,0.75
20.1855,0.74
20.1855,0.74
20.2027,0.75
20.1855,0.74
20.0826,0.74
20.1855,0.75
20.1855,0.74
20.1855,0.74
20.0826,0.74
20.1855,0.74
20.2370,0.74
20.2541,0.74
20.2541,0.75
20.1855,0.75
20.2370,0.74
20.1341,0.74
20.2541,0.74
20.2370,0.74
20.2541,0.74
20.2370,0.74
20.2541,0.74
20.1341,0.74
20.2370,0.74
20.2541,0.75
20.2541,0.74
20.2370,0.74
20.1512,0.74
20.1512,0.74
20.2541,0.74
20.2541,0.75
20.2541,0.75
20.2541,0.74
20.2370,0.74
20.1512,0.74
20.1341,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.74
20.2370,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.74
20.2370,0.74
20.2370,0.74
20.2541,0.74
20.2541,0.74
20.1855,0.75
19.7225,0.75
20.0826,0.74
20.1855,0.74
19.8254,0.74
20.2541,0.74
20.1855,0.74
20.1855,0.74
20.0826,0.74
20.2541,0.74
20.2541,0.75
20.2541,0.74
20.2541,0.74
20.2370,0.74
20.2541,0.74
19.7225,0.74
20.2541,0.74
20.2541,0.73
19.8254,0.74
20.2541,0.75
19.8254,0.75
20.2370,0.77
20.2541,0.75
19.8425,0.74
19.8425,0.76
20.1512,0.74
19.8254,0.73
19.8254,0.77
20.2541,0.75
20.1855,0.73
20.1855,0.74
20.2541,0.74
20.2541,0.75
20.1512,0.73
20.1341,0.73
20.2541,0.74
20.1855,0.73
20.5971,0.74
20.6143,0.77
21.0259,0.74
20.5114,0.73
20.9230,0.75
21.5061,0.75
21.0774,0.74
21.0774,0.73
21.0774,0.76
21.0945,0.75
21.0945,0.73
21.0945,0.75
20.6658,0.76
20.5628,0.73
20.5628,0.74
20.6658,0.76
20.2541,0.74
19.8254,0.74
19.8254,0.75
20.2884,0.75
20.2884,0.74
20.1512,0.75
19.8254,0.75
20.2370,0.74
20.2541,0.74
20.2541,0.74
20.2541,0.74
20.2370,0.75
20.1512,0.74
20.2541,0.75
19.8254,0.75
19.8254,0.74
19.7225,0.75
19.8425,0.75
19.8254,0.75
19.8254,0.74
19.8254,0.75
19.8254,0.75
19.7225,0.75
19.8254,0.74
19.8254,0.74
19.8425,0.75
19.8425,0.75
19.8254,0.75
19.8254,0.75
19.8425,0.75
19.8254,0.74
19.8254,0.75
19.8254,0.75
19.8254,0.73
19.8254,0.74
20.2370,0.76
20.2370,0.74
20.2370,0.74
19.8425,0.76
19.8254,0.75
19.8254,0.74
19.7225,0.75
19.8425,0.75
19.8254,0.75
19.8254,0.74
19.8254,0.76
19.8254,0.76
19.8254,0.74
19.8425,0.75
19.8254,0.76
19.8254,0.74
19.7911,0.73
19.8254,0.76
19.8425,0.72
19.8254,0.76
19.8254,0.74
19.8425,0.79
19.8254,0.72
19.8254,0.71
19.7225,0.83
19.8254,0.71
19.8254,0.71
19.8254,0.81
19.8254,0.70
19.8254,0.68
20.2370,0.82
19.8254,0.69
19.8254,0.72
19.8254,0.79
19.8254,0.72
19.8254,0.76
19.8254,0.76
19.8254,0.70
19.8254,0.78
19.8254,0.74
19.8254,0.73
20.2370,0.78
20.2541,0.66
20.2370,0.72
20.1512,0.74
19.8254,0.72
20.2541,0.77
19.8425,0.74
19.8254,0.75
19.8254,0.76
20.1341,0.73
19.8254,0.75
19.8254,0.75
20.2541,0.72
20.1341,0.76
19.8254,0.75
19.8254,0.72
19.8425,0.76
20.2370,0.75
19.8254,0.73
19.8254,0.76
20.2370,0.77
20.2541,0.75
20.2370,0.76
20.1341,0.75
20.2541,0.74
20.2370,0.75
20.2541,0.74
20.2370,0.73
20.2541,0.75
20.2541,0.74
20.6143,0.56
20.0826,0.57
20.1855,0.56
20.5971,0.56
20.5971,0.74
20.1855,0.74
20.6143,0.74
20.1169,0.75
20.1341,0.74
20.1341,0.74
20.5457,0.74
20.4428,0.74
20.4428,0.75
20.0655,0.74
20.0655,0.75
20.1341,0.75
19.9626,0.75
20.0655,0.74
20.0655,0.75
20.0655,0.74
19.9626,0.74
20.0655,0.75
20.4771,0.75
20.9058,0.74
20.4256,0.75
20.4256,0.75
20.8544,0.74
20.8544,0.75
20.7515,0.75
20.3227,0.75
20.4256,0.75
20.8372,0.75
20.4256,0.74
20.8372,0.74
21.2660,0.74
20.8544,0.74
22.4151,0.75
20.8372,0.75
20.7515,0.74
21.6776,0.74
21.6776,0.74
21.6776,0.74
21.6776,0.74
22.0892,0.75
21.6776,0.74
21.2660,0.75
21.2660,0.75
21.2660,0.75
21.2660,0.75
21.1631,0.75
21.1631,0.75
20.4256,0.75
20.4256,0.75
20.8544,0.74
20.9058,0.75
21.2145,0.74
20.7858,0.75
20.9058,0.75
20.9058,0.75
20.8372,0.75
20.8544,0.75
20.9058,0.74
20.8372,0.74
20.7515,0.74
20.8029,0.74
20.9058,0.75
20.9058,0.74
20.4256,0.75
20.8372,0.75
21.3174,0.74
21.3174,0.75
21.3346,0.75
21.3174,0.74
21.2660,0.75
21.2317,0.74
21.2145,0.75
21.3174,0.75
21.7462,0.74
21.7462,0.75
20.4771,0.75
20.4771,0.74
20.0655,0.74
20.4942,0.74
20.4771,0.74
20.0655,0.74
20.0655,0.75
20.0655,0.75
20.0655,0.75
20.0655,0.75
20.0655,0.75
20.3742,0.75
20.8029,0.75
20.9058,0.75
20.9058,0.75
21.3689,0.74
20.4771,0.75
20.4942,0.75
20.4942,0.74
20.3742,0.75
20.4942,0.75
20.4942,0.74
20.4942,0.75
20.9058,0.74
20.9058,0.74
21.7462,0.75
20.4942,0.74
20.0655,0.75
20.0655,0.75
20.4942,0.74
20.9058,0.75
20.9058,0.75
21.7976,0.74
21.3174,0.75
20.9058,0.75
20.9058,0.75
20.8029,0.75
22.0549,0.75
21.2145,0.74
21.2145,0.75
21.3346,0.75
20.9058,0.74
20.9058,0.75
20.9058,0.75
20.9058,0.74
20.9058,0.75
20.4942,0.75
20.3913,0.74
20.4942,0.75
20.9058,0.75
20.9058,0.75
21.3174,0.75
21.3346,0.75
21.3174,0.75
21.3174,0.75
21.3346,0.75
21.2145,0.75
21.2317,0.75
20.8029,0.74
21.3346,0.75
21.3346,0.75
21.3174,0.74
21.3174,0.75
21.3174,0.75
20.9058,0.74
20.9058,0.75
20.4942,0.75
20.8029,0.74
20.9058,0.75
20.9230,0.75
20.9058,0.74
20.4942,0.75
20.4771,0.75
20.4942,0.75
20.4771,0.75
20.4942,0.75
20.4771,0.75
20.4771,0.75
20.4942,0.75
20.4942,0.75
20.4942,0.75
20.4771,0.75
20.4942,0.75
20.9058,0.75
20.9058,0.75
20.9058,0.75
20.9058,0.75
20.9058,0.75
20.9058,0.75
20.8029,0.75
20.8029,0.75
20.4942,0.74
20.9058,0.75
20.9058,0.75
20.9058,0.74
20.8887,0.75
20.9058,0.75
20.8029,0.75
20.8029,0.75
20.9058,0.75
20.9058,0.75
20.9058,0.75
21.3174,0.74
21.3174,0.75
21.3174,0.75
21.3346,0.74
21.3346,0.74
21.3346,0.75
21.2145,0.74
20.8201,0.75
22.2092,0.75
20.9058,0.75
20.4771,0.74
20.4942,0.75
20.4942,0.75
20.4771,0.75
20.3742,0.75
20.3913,0.75
20.4942,0.75
20.4771,0.75
20.4942,0.75
20.4942,0.75
20.4942,0.75
20.4942,0.75
20.3913,0.75
20.4942,0.74
20.4942,0.74
20.4771,0.75
20.4942,0.75
20.4942,0.74
20.9058,0.75
21.3346,0.75
25.0562,0.75
24.7303,0.75
21.3174,0.75
20.9058,0.75
20.7858,0.75
20.9058,0.75
20.4771,0.75
20.4771,0.75
20.4942,0.75
20.4942,0.75
20.4942,0.75
20.4942,0.74
20.3913,0.75
21.3174,0.75
24.6274,0.75
22.0549,0.78
20.9230,0.80
20.9058,0.82
21.3346,0.84
1197.1214,0.88
24.1986,0.86
23.7870,0.83
24.1986,0.89
21.2145,0.85
20.9058,0.92
20.4942,0.98
20.4942,0.99
20.4942,1.01
20.9058,1.00
21.3174,1.00
21.7290,1.00
22.0549,1.10
23.7870,1.24
22.0549,1.34
23.7870,1.26
24.1986,0.95
23.4612,0.57
22.0549,0.23
21.2145,0.03
21.2145,0.00
21.3174,0.11
20.9058,0.11
20.9058,0.11
21.3174,0.11
21.3346,0.00
21.7462,0.00
22.1578,0.00
21.7462,0.00
22.5351,0.00
22.4665,0.00
22.4836,0.00
22.5865,0.00
22.5865,0.00
22.1578,0.00
22.1578,0.00
21.7462,0.00
21.6433,0.00
21.7462,0.00
21.7462,0.00
22.1578,0.00
22.1578,0.00
22.1578,0.00
22.5694,0.00
22.5865,0.00
22.0549,0.00
22.0549,0.02
22.1578,0.42
22.1578,0.79
22.1578,1.40
22.1578,2.22
22.1578,3.01
22.1578,4.21
22.1578,5.84
21.7462,8.05
21.3346,10.72
21.7462,13.71
21.7462,17.13
21.7290,21.69
21.7462,27.52
21.7462,34.07
22.1578,40.47
21.7290,45.66
22.0549,49.59
22.0549,53.02
21.7462,56.80
22.5865,61.09
22.9981,65.42
22.9981,69.36
22.9981,73.00
22.9981,76.79
22.8952,81.38
22.8781,87.09
22.8781,93.07
23.4269,98.70
23.4097,104.14
22.0892,109.49
21.2660,114.86
21.1631,119.49
21.5747,123.20
22.9295,125.86
21.6261,127.67
21.1974,129.53
21.1974,131.30
21.6261,133.23
23.1868,135.20
21.9692,137.27
21.5747,139.31
23.2382,141.50
21.9177,144.19
23.4955,147.60
22.2778,152.25
22.2092,156.98
21.3174,161.39
20.8372,165.24
21.6776,167.82
20.3742,170.46
20.6314,173.64
20.9744,177.01
21.5061,180.85
21.0259,184.31
20.1169,187.15
19.6539,189.96
19.1737,192.66
18.6935,195.90
19.4824,198.39
18.9336,201.03
18.8135,204.36
18.7449,207.67
18.2133,212.01
18.5734,216.19
18.9336,219.70
18.3848,222.98
17.4930,226.26
17.4415,230.15
18.2133,234.66
18.5220,238.68
17.9732,241.83
17.0814,243.64
17.0299,244.01
17.3729,244.01
17.7502,244.01
17.6816,244.01
17.6131,244.01
17.1500,244.01
16.6526,244.01
16.1724,244.01
16.5326,244.01
16.8927,244.01
16.8413,244.01
16.7727,244.01
16.7213,244.01
15.4007,244.01
15.7608,244.01
14.9205,244.01
15.7094,244.01
16.4811,244.01
16.8413,244.01
16.7727,244.01
16.3782,244.01
16.8241,244.01
15.8809,244.01
15.8980,244.01
15.4178,244.01
14.9891,244.01
14.9376,244.01
14.6118,244.01
15.7094,244.01
15.2806,244.01
15.2978,244.01
15.2978,244.01
15.2806,244.01
15.7094,244.01
15.7094,244.01
15.7094,244.01
15.6408,244.01
15.6408,244.01
15.3492,244.01
15.5893,244.01
15.1777,244.01
14.6975,244.01
14.2173,244.01
14.2516,244.01
14.5089,244.01
14.8690,244.01
15.2292,244.01
15.2292,244.01
15.2806,244.01
15.5207,244.01
15.1091,244.01
15.4693,244.01
14.6289,244.01
14.9891,244.01
14.6804,244.01
14.9205,244.01
14.9376,244.01
15.2806,244.01
15.2635,244.01
15.3835,244.01
15.6579,244.01
15.7608,244.01
15.6408,244.01
15.6579,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.6922,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.6922,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.5893,244.01
15.1606,244.01
15.2806,244.01
15.1606,244.01
15.5893,244.01
15.5207,244.01
15.5207,244.01
15.5207,244.01
15.5379,244.01
15.6236,244.01
15.5207,244.01
15.5379,244.01
15.1091,244.01
15.5207,244.01
15.1091,244.01
15.2120,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.2120,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.2120,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
15.1091,244.01
14.6804,244.01
15.2120,244.01
14.6975,244.01
14.6975,244.01
14.6975,244.01
14.6975,244.01
14.7833,244.01
14.6804,244.01
14.6975,244.01
14.6804,244.01
14.6975,244.01
14.7833,244.01
14.6975,244.01
14.6975,244.01
14.6975,244.01
14.7833,244.01
14.6975,244.01
14.6804,244.01
14.6804,244.01
15.1091,244.01
14.6975,244.01
14.6975,244.01
14.8004,244.01
14.6975,244.01
14.6804,244.01
14.6975,244.01
14.6975,244.01
14.6804,244.01
14.6804,244.01
14.6975,244.01
14.6975,244.01
14.6975,244.01
14.6975,244.01
14.8004,244.01
14.6975,244.01
14.6804,244.01
14.3202,243.44
14.4917,242.12
13.9772,239.95
13.1883,237.01
14.0973,233.74
12.8282,230.29
14.1487,226.78
14.1487,222.82
14.2173,218.50
15.1091,213.72
15.1777,208.90
14.8176,204.33
14.5603,199.82
14.0973,195.54
14.1487,190.83
15.0577,185.93
16.0009,181.06
15.7608,176.26
15.7094,171.90
15.3492,167.59
14.9891,163.08
15.8809,158.21
16.4297,152.65
16.2239,146.83
15.7608,141.37
15.8294,136.40
16.7898,132.07
16.8927,127.77
17.4415,122.74
17.0814,117.10
17.6645,110.63
17.3729,104.33
17.9217,98.55
18.0418,92.74
18.5734,86.85
18.3333,80.06
18.9336,72.29
18.6420,64.08
18.3333,56.16
18.9165,49.10
19.0536,42.96
19.1222,37.53
18.8135,32.16
18.9336,26.94
19.0536,21.92
19.5853,16.85
19.5510,12.27
19.2937,8.17
19.7225,4.96
19.7740,3.18
20.1855,2.40
20.6829,2.25
20.1512,2.32
19.8425,2.40
19.8425,2.55
19.8425,2.62
20.3056,2.42
19.4652,1.94
19.7911,1.23
20.2027,0.60
20.3570,0.18
19.9454,0.00
19.5338,0.00
19.4309,0.00
19.9454,0.00
19.9454,0.00
20.3742,0.00
20.4256,0.00
20.0140,0.00
19.9797,0.00
20.0140,0.00
20.0140,0.00
19.5853,0.00
19.5853,0.00
20.0140,0.00
20.0140,0.00
20.3227,0.00
20.4256,0.00
20.0140,0.00
20.0140,0.00
20.4256,0.00
20.4942,0.00
20.4942,0.00
20.3742,0.56
20.8029,0.58
20.4771,0.66
20.9058,0.98
20.0483,0.97
20.0655,1.69
20.0655,2.18
19.9626,2.58
19.9626,2.82
20.0655,2.90
20.0655,3.08
20.0655,3.15
20.0655,3.17
20.0655,3.13
20.0655,3.16
20.0655,3.18
20.0655,3.14
20.0655,3.18
20.0826,3.16
20.0655,3.16
20.0826,3.17
19.9626,3.15
20.0655,3.19
20.0655,3.16
20.4942,3.17
20.4771,3.18
20.4942,3.18
20.4942,3.18
20.4942,3.18
20.4942,3.18
20.4771,3.17
20.9401,3.17
20.9401,3.19
20.9401,3.17
20.9230,3.18
20.4942,3.18
20.9573,3.18
20.4771,3.18
20.9058,3.17
20.9058,3.19
20.9058,3.17
20.3742,3.18
21.2145,3.19
21.2831,3.18
20.9058,3.18
21.3346,3.18
21.3860,3.18
21.3860,3.18
21.3860,3.17
21.3860,3.19
21.3860,3.18
20.9573,3.18
21.3860,3.18
20.8544,3.18
21.2831,3.18
20.9744,3.18
20.9573,3.18
20.9573,3.18
20.9573,3.18
20.9573,3.18
20.9573,3.18
20.9573,3.18
20.8544,3.18
20.4428,3.17
20.4428,3.18
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.4428,3.17
20.4428,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.4428,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.9744,3.17
20.5457,3.17
20.4428,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.4428,3.17
20.4428,3.16
20.5457,3.17
20.5457,3.17
20.1341,3.17
20.1341,3.17
20.5457,3.17
20.4428,3.17
20.0312,3.17
20.1341,3.17
20.1341,3.17
20.5457,3.17
20.5457,3.17
20.1341,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.16
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.1341,3.17
20.4428,3.17
20.4428,3.17
20.4428,3.17
20.5628,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.9744,3.17
20.5457,3.17
20.4428,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.16
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.18
20.5457,3.18
20.8715,3.17
20.5457,3.17
20.1169,3.17
20.5457,3.17
20.1341,3.17
20.5457,3.17
20.5457,3.17
20.5457,3.17
20.1341,3.17
20.5457,3.17
20.5285,3.17
20.4256,3.16
20.4256,3.17
20.5285,3.17
20.5285,3.16
20.1341,3.17
20.0140,3.17
20.5457,3.17
20.1169,3.17
20.5457,3.17
20.1169,3.17
20.9744,3.17
20.5457,3.17
20.5457,3.17
20.0312,3.17
20.5457,3.17
20.1341,3.17
20.1341,3.17
20.5457,3.17
20.9573,3.17
20.5457,3.17
20.9744,3.17
20.4942,3.17
20.9744,3.17
20.5457,3.17
21.3860,3.16
20.5457,3.16
20.5457,3.17
20.5457,3.16
20.5457,3.17
20.9744,3.17
20.9573,3.16
20.9573,3.17
20.9058,3.16
21.9863,3.16
22.2264,3.17
31.9676,3.17
37.1126,3.17
22.6380,3.18
25.1419,3.17
25.1590,3.17
24.6274,3.17
23.4783,3.17
28.0402,3.17
26.7197,3.17
25.5706,3.17
24.3187,3.17
24.7303,3.17
28.1431,3.17
26.7711,3.17
25.8793,3.17
25.5192,3.17
26.0337,3.17
1197.3272,3.17
49.0833,3.17
49.5121,3.18
50.0094,3.17
47.4197,3.17
46.5794,3.17
28.4004,3.17
26.8226,3.17
28.0231,3.17
27.6286,3.17
27.6115,3.17
27.6630,3.17
27.5600,3.17
27.1827,3.17
27.1313,3.17
26.7197,3.17
26.8226,3.17
25.9994,3.17
26.4110,3.17
26.3081,3.17
26.3081,3.17
26.3081,3.17
26.8226,3.17
26.8226,3.17
26.3081,3.18
26.7197,3.17
26.7197,3.17
26.8226,3.17
27.2342,3.17
27.1484,3.18
26.7197,3.18
27.6115,3.17
27.2513,3.17
26.8226,3.17
27.1313,3.16
27.5600,3.17
26.7197,3.17
26.8226,3.16
26.8226,3.18
26.8226,3.18
26.7197,3.16
26.7197,3.17
26.8226,3.17
26.8226,3.16
27.1313,3.17
27.1999,3.17
27.1313,3.16
27.2342,3.17
26.8226,3.17
26.8226,3.17
26.7197,3.17
26.7197,3.17
26.7197,3.17
26.8226,3.17
26.8226,3.17
26.7197,3.17
26.7197,3.18
26.8226,3.16
27.2342,3.17
26.4110,3.18
26.8226,3.16
26.7197,3.17
26.7197,3.18
26.7197,3.17
26.4110,3.17
23.1182,3.18
26.3938,3.17
27.1999,3.17
27.1484,3.17
26.3081,3.17
22.6894,3.17
32.7393,3.17
27.6115,3.17
28.8634,3.17
28.5548,3.17
1197.2414,3.17
25.4678,3.17
26.7197,3.17
26.7197,3.17
23.8899,3.17
26.0508,3.17
27.2513,3.18
22.1063,3.17
21.2660,3.17
21.2660,3.18
20.4256,3.16
22.1578,3.17
21.2660,3.18
20.7343,3.17
23.2554,3.17
1197.2414,3.18
28.5033,3.18
1197.1385,3.18
27.6115,3.19
1197.2414,3.18
25.5020,3.17
20.7858,3.17
20.4256,3.17
19.9454,3.17
20.0140,3.18
19.1737,3.18
18.8135,3.17
18.8135,3.17
19.2423,3.18
19.1737,3.17
19.0708,3.17
20.3742,3.18
18.8135,3.17
19.2937,3.17
18.8650,3.18
20.1341,3.17
19.1222,3.18
19.3452,3.17
19.3452,3.17
19.3452,3.18
19.3452,3.18
19.6710,3.17
19.7740,3.18
19.8254,3.18
19.7740,3.17
19.7568,3.18
19.7568,3.18
19.7740,3.17
19.7740,3.18
19.7740,3.17
19.7568,3.17
19.7740,3.18
19.6710,3.17
19.8254,3.18
19.8254,3.17
19.8254,3.17
19.8254,3.17
19.7740,3.17
19.6710,3.17
19.7740,3.18
19.7740,3.17
19.8254,3.17
19.7740,3.18
19.8254,3.17
19.7740,3.18
19.7740,3.18
20.1855,3.17
20.0826,3.18
20.0998,3.17
19.7740,3.17
19.7740,3.18
19.7740,3.17
19.8425,3.17
19.7740,3.18
20.1855,3.17
19.7740,3.17
19.8254,3.18
20.1855,3.17
19.8425,3.18
19.7225,3.18
19.8254,3.18
19.8254,3.18
19.8254,3.18
19.8254,3.17
19.7740,3.18
19.7740,3.17
19.7740,3.17
19.8425,3.18
19.7740,3.17
19.7740,3.17
19.7740,3.18
19.8425,3.18
19.8254,3.17
19.7740,3.18
19.8254,3.18
19.8254,3.17
19.7225,3.18
19.8425,3.18
19.8425,3.18
